HECTOR MORENO,Roma,DIFENSORE,5
JUAN JESUS,Roma,DIFENSORE,5
MAGGIO,Napoli,DIFENSORE,5
MARIO RUI,Napoli,DIFENSORE,5
STRINIC,Sampdoria,DIFENSORE,5
ASAMOAH,Juventus,DIFENSORE,5
ROSI,Genoa,DIFENSORE,5
GASPAR B,Fiorentina,DIFENSORE,5
TOMOVIC,Chievo,DIFENSORE,5
DAINELLI,Chievo,DIFENSORE,5
GOBBI,Chievo,DIFENSORE,5
MAIETTA,Bologna,DIFENSORE,5
MBAYE,Bologna,DIFENSORE,5
COSTA,Benevento,DIFENSORE,5
DJIMSITI,Benevento,DIFENSORE,5
LETIZIA,Benevento,DIFENSORE,5
LUCIONI,Benevento,DIFENSORE,5
VIOLA,Benevento,CENTROCAMPISTA,5
NAGY,Bologna,CENTROCAMPISTA,5
MARCHISIO,Juventus,CENTROCAMPISTA,5
ROG,Napoli,CENTROCAMPISTA,5
GERSON,Roma,CENTROCAMPISTA,5
ALVAREZ R,Sampdoria,CENTROCAMPISTA,5
BARRETO E,Sampdoria,CENTROCAMPISTA,5
SENSI,Sassuolo,CENTROCAMPISTA,5
HALLFREDSSON,Udinese,CENTROCAMPISTA,5
CENTURION,Genoa,CENTROCAMPISTA,5
BRIGNOLA,Benevento,ATTACCANTE,5
IEMMELLO,Benevento,ATTACCANTE,5
CUTRONE,Milan,ATTACCANTE,5
KEAN,Verona,ATTACCANTE,5
OKWONKWO,Bologna,ATTACCANTE,5
PUSCAS,Benevento,ATTACCANTE,5
BELEC,Benevento,PORTIERE,4
RAFAEL,Cagliari,PORTIERE,4
VAN DER WIEL,Cagliari,DIFENSORE,4
FERRARI A,Verona,DIFENSORE,4
MORETTI,Torino,DIFENSORE,4
FELIPE,SPAL,DIFENSORE,4
MATTIELLO,SPAL,DIFENSORE,4
BILLONG,Benevento,DIFENSORE,4
BURDISSO,Torino,DIFENSORE,4
MURRU,Sampdoria,DIFENSORE,4
REGINI,Sampdoria,DIFENSORE,4
KARSDORP,Roma,DIFENSORE,4
ABATE,Milan,DIFENSORE,4
CALABRIA,Milan,DIFENSORE,4
NAGATOMO,Inter,DIFENSORE,4
SALAMON,SPAL,DIFENSORE,4
DE MAIO,Bologna,DIFENSORE,4
GONZALEZ G,Bologna,DIFENSORE,4
VENUTI,Benevento,DIFENSORE,4
CASTAGNE,Atalanta,DIFENSORE,4
CATALDI,Benevento,CENTROCAMPISTA,4
KREJCI,Bologna,CENTROCAMPISTA,4
GARRITANO,Chievo,CENTROCAMPISTA,4
GONALONS,Roma,CENTROCAMPISTA,4
ACQUAH,Torino,CENTROCAMPISTA,4
BUCHEL,Verona,CENTROCAMPISTA,4
VALOTI,Verona,CENTROCAMPISTA,4
STEPINSKI,Chievo,ATTACCANTE,4
KARAMOH,Inter,ATTACCANTE,4
LOMBARDI,Benevento,ATTACCANTE,4
SIMY,Crotone,ATTACCANTE,4
MEGGIORINI,Chievo,ATTACCANTE,4
ORSOLINI,Atalanta,ATTACCANTE,4
PUGGIONI,Sampdoria,PORTIERE,3
BRIGNOLI,Benevento,PORTIERE,3
BANI,Chievo,DIFENSORE,3
SOUPRAYEN,Verona,DIFENSORE,3
BARRECA,Torino,DIFENSORE,3
CIONEK,SPAL,DIFENSORE,3
ANTEI,Benevento,DIFENSORE,3
GAZZOLA,Sassuolo,DIFENSORE,3
LETSCHERT,Sassuolo,DIFENSORE,3
SALA,Sampdoria,DIFENSORE,3
CHIRICHES,Napoli,DIFENSORE,3
MAKSIMOVIC,Napoli,DIFENSORE,3
